SMILES,TARGET_fp,TARGET_Tm,TARGET_Tb,TARGET_density,TARGET_mcvh,TARGET_ISP
C1CC2CC1CC1CCC21,323.167,230.579,452.262,0.98,42.229,337.601
CC1C2(C)CC1(C)C21CC1,223.426,244.621,378.347,0.94,42.278,337.797
CCC1CC1C1C(C)C1C,308.736,210.223,424.575,0.875,42.934,337.75
CCC1CC2(C)CCC12C,266.792,225.762,410.849,0.853,43.073,338.297
CC(C)C1(C)C2CCC21C,264.037,225.473,398.903,0.838,42.98,337.931
CC(C)CC1(C(C)C)CC1,274.377,175.93,413.256,0.788,43.918,339.048
CC(C)C(C(C)C)C1CC1,296.3,176.326,413.955,0.825,43.884,338.916
CC12CC3(CC4CCC1C43)C2,270.4,252.881,424.062,1.067,41.648,337.264
CC12CC3CC(C1)C(C)(C)C32,287.355,251.866,438.916,0.928,42.255,337.215
CC1C2CCC1(C)C1(C)CC21,277.255,252.243,435.155,0.933,42.287,337.343
CC1CCC2(C)C3CCC12C3,263.466,247.838,429.433,0.951,42.437,337.941
CCC1C2CC1(CC(C)C)C2,297.915,202.454,444.744,0.88,43.147,338.352
CCC1(C)CC1CC1(C)CC1,293.794,184.207,439.901,0.856,43.28,338.873
CCC1CC(C)C2C3CC12C3,297.483,228.644,438.603,0.963,42.341,337.558
CCC1CC(CCC2CC2)C1,335.87,185.274,458.205,0.87,43.227,338.665
CC1C2C3C4C1C2(C(C)C)C34,287.738,229.883,413.905,1.067,41.383,336.19
C1C2C1C1C3CC4(CC4)CC1C23,316.128,260.075,459.149,1.178,41.02,336.422
C1C2C3C24CC2C5C4C5C34C1C24,278.897,262.935,408.114,1.562,39.462,334.89
C1CC23C4CC15CC1(CC41)C2C53,239.413,268.552,400.277,1.353,40.443,336.478
C1CC2C3CC34CCC3C2C34C1,277.395,264.854,438.798,1.187,41.147,336.942
C1CC2CC(C1)C13CC(C1)C2C3,315.376,261.057,472.069,1.061,41.832,337.376
C1CC2(CC2)C2CCC3CC32C1,276.643,265.804,452.808,1.061,41.957,337.879
C1CC1C1CC2C3C4CC1(C4)C23,310.677,267.453,448.585,1.196,41.057,336.574
CC12C3C1C14CC3(C1)C1C2C14C,218.386,271.271,374.08,1.297,40.323,335.979
CC12CC3CC34CCCCC14C2,246.763,269.489,431.899,1.047,41.961,337.896
CC12CC1CC1(CCCCC1)C2,284.745,265.815,466.058,0.95,42.628,338.294
CC12CC34CC1(C3)C1CCC2C14,247.514,268.563,416.599,1.17,41.151,336.959
CC12CC3(C)C4CC3(C1)C1C4C12,256.367,267.643,416.599,1.145,41.028,336.455
CC1(C)CCC2C3C1CCC23C,310.192,261.762,464.852,0.913,42.389,337.345
CC12CCC3C(CC1C1CC1)C32,318.779,267.465,462.06,1.054,41.747,337.033
CC12CCCCC(CCC1)CC2,322.727,262.044,496.025,0.871,43.279,338.673
CC1C23CCC4CCC12C4CC3,270.46,260.221,443.858,1.054,41.884,337.585
CC1C2C3CC14CC32C1CC4C1,276.148,264.256,435.035,1.17,41.054,336.561
CC1C2C3CC3C3CC12C1CC31,309.945,254.26,450.433,1.178,40.945,336.114
CC1C(C)C23CC4C1C4(C)C2C3,283.002,263.667,445.651,1.021,41.653,336.653
CC1C2CCC3C(C2)C(C)(C)C13,331.084,259.481,481.22,0.928,42.294,336.966
CC1C2CC34CC5CC(C52)C13C4,276.148,264.256,435.035,1.17,41.054,336.561
CC1C2CC3C4C3C1C1(C2)CC41,314.881,259.457,455.688,1.17,40.927,336.04
CC1C2CC3C4C3C2C(C)(C)C14,326.899,253.255,463.809,1.021,41.516,336.099
CC1CCC2(CC2C)C(C)(C)C1,288.222,252.117,461.053,0.84,43.14,338.129
CC1CC2C3CC14CCCC3C24,309.193,255.283,463.809,1.054,41.758,337.077
CC1CC2CC2C2CC(C)C12C,311.112,249.279,468.381,0.939,42.359,337.225
CC1CC2C(C)CCC3CC32C1,302.259,250.325,468.381,0.95,42.479,337.702
CC1CCCC2(C)C(C)CC2C1,310.361,250.337,480.834,0.862,43.136,338.113
CC1CCCC2(CC1)CCC2C,301.508,251.376,480.834,0.871,43.254,338.575
CC1C(C)C1C1CCCC2CC21,335.542,253.199,477.072,0.955,42.391,337.352
CC1CC2CC2C2C(C)C(C)C12,334.809,238.556,478.717,0.944,42.283,336.922
CC1CCC2CC1(C1(C)CC1)C2,291.239,263.07,461.472,0.928,42.538,337.937
CC1CCC2C(CC3CC3)C12C,315.094,224.217,459.209,0.939,42.507,337.814
CCC12CCC3C(C)CC(C1)C32,311.891,237.648,474.985,0.972,42.493,337.758
CCC12CCC(CC1)C2C1CC1,312.624,252.379,473.314,0.984,42.602,338.191
CCC12CC(C)CC1CCC2C,304.957,232.03,479.355,0.885,43.196,338.348
CCC1C2C1C1(CC1)CC21CC1,280.78,253.142,440.979,1.061,41.872,337.537
CCC1C2C(C2(C)C)C2(C)CC12,314.329,248.722,453.605,0.913,42.304,337.006
CCC1C2CC3(C)C4C2CCC143,294.569,257.39,446.44,1.04,41.732,336.972
CCCC12C(C)C1CCC2(C)C,294.278,233.877,463.294,0.853,43.165,338.227
CCCC1CC1C(C)(C)C1CC1,321.746,253.535,460.19,0.827,43.189,338.321
CC(C)C1CC2(CC2)CC2CC21,316.213,251.99,464.146,1.008,42.527,337.893
CC1CC2CCC1C2(C)C(C)C,310.184,244.963,470.536,0.862,43.047,337.764
CC(C)CC1CC23CCC1(C2)C3,271.58,244.605,439.646,0.944,42.61,338.223
CCC(C)C1C(C)C1C1CCC1,338.804,243.414,472.756,0.924,43.16,338.207
C1CC2C3C1C1C3C34CC1C2(C3)C4,293.242,275.03,452.697,1.286,40.601,336.184
C1C2C34CC5C6C3C63CC15CC23C4,216.527,282.69,392.038,1.468,40.06,336.232
C1C2C3C4CC25C4C2CC54CC14C23,255.26,278.478,416.47,1.468,39.941,335.732
C1CC23CCC45CC24CCC5CC13,253.757,280.202,446.184,1.154,41.478,337.56
C1C2C3C4C1C15CC(CC231)C41CC15,255.26,278.478,416.47,1.468,39.941,335.732
C1C2CC34CC3C1C1CC1C41CC21,293.242,275.03,452.697,1.286,40.601,336.184
C1C2C1C1C3CC4C5CC(C2C54)C31,370.708,265.995,489.827,1.286,40.365,335.206
C1CC23C4C5CC2(CC15)C3C1CC14,293.242,275.03,452.697,1.286,40.601,336.184
C1C2C1C1C3CCC45C(CCC314)C25,293.242,275.03,452.697,1.286,40.601,336.184
C1CC23CC45C1CC2C41CC3CC51,254.509,279.343,431.778,1.295,40.719,336.673
C1C2C3CC4C5CCC6C2C1C3C654,331.975,270.584,471.966,1.286,40.483,335.696
C1C2C3C4C56CC7C5CC2(C6)C1C734,255.26,278.478,416.47,1.468,39.941,335.732
