SMILES,TARGET_fp,TARGET_Tm,TARGET_Tb,TARGET_density,TARGET_mcvh,TARGET_ISP
C1C2C3CC45CC26CC1(C4)C35C6,200.68,273.061,374.08,1.353,40.572,337.014
C1C2CC34CC5CC16CC53C26C4,200.68,273.061,374.08,1.353,40.572,337.014
C1C2C3CC23C23CC2C32C3CC132,201.431,272.158,354.531,1.562,39.722,335.992
C1C2CC34C2CC25CC36C2C46C15,201.431,272.158,354.531,1.562,39.722,335.992
C1C2CC34C5C16C1C7C6C6(C2)C2C8(C7C15C38)C246,202.449,322.256,409.286,2.021,38.762,334.686
C12C3C4C5C1C16C2C32C3C1C56C432,202.934,270.335,310.01,2.378,37.956,333.759
C12C3C4C1C15C6C7C8C6C41C38C275,202.934,270.335,310.01,2.378,37.956,333.759
CC(C)CC12CC34C(C)C13C24,206.695,216.094,359.24,1.082,41.733,337.608
C1CC12C1(CC1)C1(CC1)C1(CC1)C21CC1,207.234,305.995,446.743,1.214,41.356,337.797
C1CC23C4CCC5C2(C1)C31C42CCCC521,207.985,305.278,432.371,1.349,40.695,337.028
CC(C)(C)C12C3(C)C1(C)C32C(C)(C)C,210.076,285.514,413.527,0.916,42.587,337.5
CC1C23CCC4(C2)C(C)C14C3,210.448,246.907,377.607,1.067,41.757,337.706
CC1CC12CC21CC12CC2C,210.448,246.907,377.607,1.067,41.757,337.706
CC1CC12CC21CC12CC21CC1(C)C,210.651,290.065,421.31,1.076,41.597,337.422
C12C3C4C5C1C16C7C8C9C%10C7C51C4%10C39C286,210.991,302.372,364.572,2.503,37.91,333.556
CCC12CC13C(C)C23C(C)C,212.97,221.848,378.493,0.976,42.461,338.036
CC(C)C(C)C12CC13C2C31CC12CC2,213.546,274.892,416.381,1.134,41.641,337.6
C1CC2CC23CC32CC23CC32CC12,215.775,283.53,408.9,1.295,40.837,337.16
CCC(C)C12C3C4(C)CC1(CC)C342,216.458,252.841,409.382,1.043,42.035,337.663
C1C2CC34C5C6C7CC23CC15C64C7,216.527,282.69,392.038,1.468,40.06,336.232
CC(C)(C)C1C2(C)C3(C)CC132,216.709,261.762,368.883,0.905,42.333,337.527
CC12CC3(C)CC4(C1)CC4(C2)C3,216.883,273.082,409.034,1.034,41.965,337.912
CC(C)C1(C(C)C)C23CC21C3,217.086,234.212,363.22,0.939,42.427,337.901
CC1CC2C3C4CC15C21C3C451,218.134,250.936,351.14,1.414,40.032,335.902
CCCC1(CC)CC23C4C2(C)C413,219.094,230.703,397.545,1.061,41.979,337.968
CC12C3C4C5(C)C6C1C61C2C34C51,219.137,270.357,354.531,1.502,39.471,334.929
CC1CC2C(CC1C)C1C34C56C2C53C164,219.257,283.109,403.979,1.386,40.217,335.892
CC1CC23CC45C6C2C2C(C)C4(C13)C265,219.257,283.109,403.979,1.386,40.217,335.892
CC1CC12CC21CC12C(C)C2C,219.361,253.535,401.35,1.04,41.862,337.497
CC1C(C)(C)C23C4CC2(C)C42CCC123,219.504,289.273,421.31,1.064,41.492,336.996
CC1CC2CC3(C)C4(C)C1(C)C234,219.553,266.855,398.29,1.008,41.771,337.13
CCC1CC12CC21CC12CC21CC12CC2C,220.283,301.252,453.601,1.178,41.397,337.367
CC1(C)C2(C)CC12C12CC1(C)C2(C)C,220.503,294.41,422.551,0.938,42.039,337.228
CCCCC12C3C4C1C15C6C7C8C6C21C83C745,220.88,292.416,419.681,1.653,39.605,335.497
CC1CC23CC45CCC67CC(C1)(C2)C36C4C57,221.834,313.277,456.763,1.287,40.831,336.853
C1CC12CCC1(CC23CC3)C2(CC2)C12CC2,222.33,314.379,473.074,1.184,41.518,337.86
CC1C2(C)C(C)C12C12C(C)C1(C)C2C,222.342,273.975,430.86,0.986,41.988,337.024
C1CC23CCC14CCC42CC3,222.814,258.886,400.415,1.082,41.918,338.356
C1CC12C(C1C3(CC3)C13CC3)C21CC1,225.421,299.172,427.9,1.259,41.093,337.41
CC12CC3CC4(C)CC(C)(C1)C324,225.736,272.19,409.034,1.014,41.844,337.424
CC(C)C(C)CC12CC13CC23C,225.861,223.356,406.106,0.966,42.684,338.516
CC12CC3(C)CC4(C1)CC(C)(C2)C34C,226.047,295.597,446.857,0.981,42.139,337.629
CC1CCC23C4C1C41C2C31C,226.236,250.949,370.951,1.199,40.813,336.447
CCC1CC12CC21CC12CC2,226.951,245.569,385.673,1.082,41.824,337.976
